user_id_of_learner,user_id_of_teacher,starting_date_of_learning_or_teaching,ending_date_of_learning_or_teaching
1,2,2024-01-15,2024-03-15
1,8,2024-02-10,2024-04-10
2,15,2024-01-20,2024-03-20
2,8,2024-02-05,2024-04-05
3,5,2024-01-25,2024-03-25
3,12,2024-02-15,2024-04-15
4,13,2024-01-30,2024-03-30
4,13,2024-02-20,2024-04-20
5,19,2024-02-01,2024-04-01
5,12,2024-02-25,2024-04-25
6,2,2024-03-01,2024-05-01
6,8,2024-03-05,2024-05-05
7,14,2024-03-10,2024-05-10
7,20,2024-03-15,2024-05-15
8,15,2024-04-01,2024-06-01
8,2,2024-04-05,2024-06-05
9,5,2024-04-10,2024-06-10
9,12,2024-04-15,2024-06-15
10,10,2024-05-01,2024-07-01
10,10,2024-05-05,2024-07-05
11,11,2024-05-10,2024-07-10
11,11,2024-05-15,2024-07-15
12,19,2024-06-01,2024-08-01
12,8,2024-06-05,2024-08-05
13,13,2024-06-10,2024-08-10
13,13,2024-06-15,2024-08-15
14,20,2024-07-01,2024-09-01
14,20,2024-07-05,2024-09-05
15,8,2024-07-10,2024-09-10
15,2,2024-07-15,2024-09-15
16,16,2024-08-01,2024-10-01
16,16,2024-08-05,2024-10-05
17,17,2024-08-10,2024-10-10
17,17,2024-08-15,2024-10-15
18,18,2024-09-01,2024-11-01
18,18,2024-09-05,2024-11-05
19,19,2024-09-10,2024-11-10
19,19,2024-09-15,2024-11-15
20,20,2024-09-20,2024-11-20 